step,link_index,link_name,normal_force,lateral_friction
10,15,toeRL,0.0,3.0
10,11,toeRR,0.0,3.0
20,11,toeRR,55.599602175357845,3.0
30,7,toeFL,208.71683847004044,3.0
30,15,toeRL,218.9062415635737,3.0
30,3,toeFR,91.86515677029043,3.0
50,7,toeFL,0.0,3.0
60,7,toeFL,453.1439613957366,3.0
70,7,toeFL,849.9316953995689,3.0
70,15,toeRL,0.0,3.0
80,15,toeRL,0.0,3.0
100,15,toeRL,0.0,3.0
110,15,toeRL,352.9753814921989,3.0
110,7,toeFL,0.0,3.0
120,7,toeFL,0.0,3.0
130,7,toeFL,0.0,3.0
130,3,toeFR,0.0,3.0
170,11,toeRR,0.0,3.0
180,15,toeRL,0.0,3.0
190,15,toeRL,701.5954725741186,3.0
200,3,toeFR,0.0,3.0
210,11,toeRR,517.0795264639415,3.0
210,7,toeFL,0.0,3.0
220,15,toeRL,220.65771611801327,3.0
230,7,toeFL,298.4438171204028,3.0
230,15,toeRL,0.0,3.0
240,7,toeFL,248.3530488223262,3.0
240,15,toeRL,333.8934370934092,3.0
250,15,toeRL,333.12145379620944,3.0
250,7,toeFL,0.0,3.0
260,3,toeFR,0.0,3.0
270,15,toeRL,80.1625494435087,3.0
290,7,toeFL,0.0,3.0
290,15,toeRL,773.3926266425847,3.0
320,3,toeFR,926.3029527058874,3.0
340,3,toeFR,0.0,3.0
340,15,toeRL,0.0,3.0
350,7,toeFL,0.0,3.0
380,15,toeRL,549.941521907863,3.0
380,7,toeFL,690.7707753366175,3.0
400,15,toeRL,0.0,3.0
400,7,toeFL,0.0,3.0
410,15,toeRL,0.0,3.0
420,7,toeFL,0.0,3.0
430,15,toeRL,812.7782124312913,3.0
430,7,toeFL,0.0,3.0
440,15,toeRL,0.0,3.0
440,3,toeFR,0.0,3.0
450,15,toeRL,266.6824074108028,3.0
460,15,toeRL,631.3234640038683,3.0
470,7,toeFL,3.9262317649081657,3.0
470,15,toeRL,0.0,3.0
480,7,toeFL,31.833918787117007,3.0
480,15,toeRL,57.82067053428855,3.0
480,3,toeFR,0.0,3.0
500,7,toeFL,0.0,3.0
510,15,toeRL,0.0,3.0
520,15,toeRL,426.61784374647914,3.0
530,11,toeRR,199.93016990643295,3.0
530,15,toeRL,0.0,3.0
530,3,toeFR,0.0,3.0
540,15,toeRL,64.65745975376014,3.0
540,3,toeFR,357.36385571713976,3.0
10,11,toeRR,490.45519526736405,3.0
20,11,toeRR,290.64571618965226,3.0
30,7,toeFL,369.4354815203272,3.0
30,11,toeRR,0.0,3.0
40,3,toeFR,0.0,3.0
40,11,toeRR,646.1910410338144,3.0
50,7,toeFL,0.0,3.0
60,11,toeRR,98.99665442451773,3.0
80,3,toeFR,0.0,3.0
90,7,toeFL,0.0,3.0
110,11,toeRR,1092.8346179621096,3.0
120,11,toeRR,0.0,3.0
130,11,toeRR,0.0,3.0
130,7,toeFL,0.0,3.0
130,3,toeFR,104.42618872137884,3.0
130,15,toeRL,0.0,3.0
140,11,toeRR,264.80427279213876,3.0
140,3,toeFR,387.2034219297438,3.0
150,11,toeRR,0.0,3.0
150,3,toeFR,640.2103101458014,3.0
160,3,toeFR,732.5690084382912,3.0
180,11,toeRR,0.0,3.0
200,11,toeRR,0.0,3.0
210,3,toeFR,0.0,3.0
220,15,toeRL,0.0,3.0
220,11,toeRR,454.68133209215205,3.0
230,3,toeFR,501.5177990041952,3.0
230,7,toeFL,0.0,3.0
240,15,toeRL,279.5336819272892,3.0
250,11,toeRR,315.20585824152323,3.0
290,11,toeRR,0.0,3.0
300,15,toeRL,345.72493661154084,3.0
310,3,toeFR,0.0,3.0
310,11,toeRR,0.0,3.0
320,11,toeRR,253.34364788910224,3.0
320,7,toeFL,0.0,3.0
330,15,toeRL,0.0,3.0
340,15,toeRL,108.2492309767427,3.0
350,11,toeRR,0.0,3.0
360,15,toeRL,0.0,3.0
360,7,toeFL,0.0,3.0
380,11,toeRR,0.0,3.0
400,7,toeFL,0.0,3.0
410,3,toeFR,382.5086476978513,3.0
420,7,toeFL,0.0,3.0
420,11,toeRR,39.36941509996279,3.0
420,3,toeFR,0.0,3.0
430,7,toeFL,0.0,3.0
450,11,toeRR,188.85863052690243,3.0
460,11,toeRR,80.17607630251284,3.0
460,11,toeRR,136.82450500287646,3.0
460,7,toeFL,0.0,3.0
470,15,toeRL,0.0,3.0
470,3,toeFR,0.0,3.0
470,11,toeRR,0.0,3.0
480,11,toeRR,0.0,3.0
500,3,toeFR,445.1812311115277,3.0
500,11,toeRR,494.01099569720475,3.0
10,7,toeFL,0.0,3.0
20,11,toeRR,0.0,3.0
40,7,toeFL,0.0,3.0
50,7,toeFL,619.0966911967975,3.0
60,15,toeRL,0.0,3.0
60,7,toeFL,271.60706288020504,3.0
60,11,toeRR,216.0083172698249,3.0
70,7,toeFL,206.11119044030232,3.0
70,15,toeRL,0.0,3.0
100,11,toeRR,0.0,3.0
110,15,toeRL,178.63789399597192,3.0
140,11,toeRR,156.33049585371566,3.0
150,11,toeRR,107.15673901461993,3.0
150,15,toeRL,803.6524939116641,3.0
150,7,toeFL,0.0,3.0
160,7,toeFL,905.9839906297536,3.0
160,3,toeFR,0.0,3.0
170,15,toeRL,531.3443883045575,3.0
180,7,toeFL,0.0,3.0
190,11,toeRR,0.0,3.0
200,3,toeFR,320.5947184116777,3.0
210,7,toeFL,229.96720793005048,3.0
210,3,toeFR,0.0,3.0
210,15,toeRL,242.4062759786805,3.0
220,11,toeRR,360.12163494186035,3.0
230,11,toeRR,0.0,3.0
240,15,toeRL,0.0,3.0
240,11,toeRR,733.2358279730604,3.0
240,3,toeFR,0.0,3.0
250,11,toeRR,0.0,3.0
250,3,toeFR,0.0,3.0
270,15,toeRL,0.0,3.0
270,7,toeFL,0.0,3.0
280,15,toeRL,0.0,3.0
280,3,toeFR,0.0,3.0
300,3,toeFR,0.0,3.0
310,11,toeRR,576.1141158102739,3.0
320,11,toeRR,169.11427763270768,3.0
330,15,toeRL,884.9745341737291,3.0
330,7,toeFL,656.6569610442418,3.0
340,3,toeFR,0.0,3.0
350,11,toeRR,347.88871732668235,3.0
360,15,toeRL,489.32993889646974,3.0
360,11,toeRR,73.98317437971366,3.0
370,11,toeRR,184.17560812483492,3.0
380,3,toeFR,479.8609136924228,3.0
390,3,toeFR,414.60154096287124,3.0
390,7,toeFL,622.8431777714271,3.0
400,3,toeFR,0.0,3.0
430,7,toeFL,0.0,3.0
440,3,toeFR,466.3052302503884,3.0
440,7,toeFL,0.0,3.0
450,15,toeRL,873.9288031640169,3.0
450,3,toeFR,0.0,3.0
480,3,toeFR,313.9612435684186,3.0
490,15,toeRL,0.0,3.0
500,3,toeFR,368.61025239454324,3.0
500,15,toeRL,0.0,3.0
510,11,toeRR,0.0,3.0
520,7,toeFL,139.32213071857072,3.0
520,11,toeRR,0.0,3.0
530,15,toeRL,355.53472675854306,3.0
530,3,toeFR,0.0,3.0
540,11,toeRR,344.26402889802466,3.0
550,3,toeFR,0.0,3.0
560,15,toeRL,0.0,3.0
