Step,Deviation_X
0,-0.00012339189
1,-0.00016264267
2,-0.00034280555
3,-0.00044689956
4,-0.00059126253
5,-0.0006902021
6,-0.00072244083
7,-0.00081239233
8,-0.0008423317
9,-0.0009419283
10,-0.0008740241
11,-0.0010627436
12,-0.0011783482
13,-0.0013066435
14,-0.0014217142
15,-0.0014809374
16,-0.0015797797
17,-0.0016838316
18,-0.0017979246
19,-0.00193605
20,-0.001977554
21,-0.0020479488
22,-0.0020984667
23,-0.0021528068
24,-0.0022377828
25,-0.0023150106
26,-0.0023805022
27,-0.002460419
28,-0.0025055849
29,-0.002546574
30,-0.002623618
31,-0.0026953872
32,-0.0028105162
33,-0.0029378121
34,-0.0030384096
35,-0.0031925484
36,-0.0033873464
37,-0.003624864
38,-0.0037679088
39,-0.0040470655
40,-0.004226445
41,-0.004315673
42,-0.0043947026
43,-0.0045548654
44,-0.004642853
45,-0.0047305766
46,-0.004790575
47,-0.0048792446
48,-0.0050485535
49,-0.0052890624
50,-0.0055457084
51,-0.0057843775
52,-0.00587498
53,-0.0059589264
54,-0.0058614626
55,-0.0057965643
56,-0.00551933
57,-0.0051649055
58,-0.004597724
59,-0.0042340197
60,-0.003723569
61,-0.003564113
62,-0.0031224228
63,-0.0027209178
64,-0.0021680598
65,-0.0017468953
66,-0.0014523673
67,-0.0012603211
68,-0.0010455229
69,-0.0008106667
70,-0.0005707453
71,-0.00031469134
72,-3.314383e-05
73,0.00024303295
74,0.00057054544
75,0.000918396
76,0.0013220382
77,0.0017379533
78,0.0021786336
79,0.002637344
80,0.003109441
81,0.0035600662
82,0.004052795
83,0.004567465
84,0.005130705
85,0.0057206624
86,0.0063656415
87,0.0069987527
88,0.0076907757
89,0.008407741
90,0.009152536
91,0.009923278
92,0.010656513
93,0.011409557
94,0.012065886
95,0.012687918
96,0.01334959
97,0.013922888
98,0.014404368
99,0.014839347
100,0.015303211
101,0.015777173
102,0.016285427
103,0.01671603
104,0.017215455
105,0.017851299
106,0.018396148
107,0.01882213
108,0.019255187
109,0.019705694
110,0.020203711
111,0.020826854
112,0.021441668
113,0.022094682
114,0.022982484
115,0.0237893
116,0.024484446
117,0.02515066
118,0.025766468
119,0.026340876
120,0.02690022
121,0.027434886
122,0.02788914
123,0.028384436
124,0.028841926
125,0.029323626
126,0.02985005
127,0.03025767
128,0.03079301
129,0.031206306
130,0.031797696
131,0.032257657
132,0.032886177
133,0.033544596
134,0.03423292
135,0.03486421
136,0.035456147
137,0.036138646
138,0.036920704
139,0.0378365
140,0.03870188
141,0.039635938
142,0.04057093
143,0.041511793
144,0.04248563
145,0.04340002
146,0.044377226
147,0.04530964
148,0.046259847
149,0.047215447
150,0.04810692
151,0.04913251
152,0.04995989
153,0.050873134
154,0.05175152
155,0.052629795
156,0.053538535
157,0.054465782
158,0.055237073
159,0.055975568
160,0.05668992
161,0.05738499
162,0.05803973
163,0.058758847
164,0.059474926
165,0.060116988
166,0.060807783
167,0.061565895
168,0.062396254
169,0.06325271
170,0.0639635
171,0.06466174
172,0.06530318
173,0.06588332
174,0.066404484
175,0.066883594
176,0.06731605
177,0.06773392
178,0.06803161
179,0.06832334
180,0.06811277
181,0.06791435
182,0.06783866
183,0.066987105
184,0.066013806
185,0.06498443
186,0.064128
187,0.06317385
188,0.06235531
189,0.06151376
190,0.06082372
191,0.060105655
192,0.0595345
193,0.05889956
194,0.05849265
195,0.05796446
196,0.057639103
197,0.057126336
198,0.056537706
199,0.056000214
200,0.055530295
201,0.054974083
202,0.05506812
203,0.05550141
204,0.056139875
205,0.056797
206,0.057296798
207,0.05780774
208,0.058198605
209,0.05845881
210,0.058763273
211,0.05904231
212,0.059170585
213,0.059137248
214,0.059256893
215,0.059230912
216,0.059067775
217,0.05878276
218,0.05812835
219,0.05765027
220,0.05728622
221,0.05687876
222,0.0562803
223,0.055772416
224,0.0555751
225,0.055264074
226,0.054958586
227,0.054627575
228,0.054509394
229,0.054515056
230,0.054537326
231,0.054725893
232,0.05484744
233,0.054722887
234,0.054596674
235,0.05445321
236,0.05426799
237,0.054121457
238,0.05384978
239,0.053671703
240,0.05337902
241,0.053092834
242,0.05279481
243,0.05250279
244,0.05218816
245,0.051908657
246,0.051374793
247,0.050918035
248,0.05054503
249,0.050125882
250,0.04967922
251,0.04944873
252,0.04842952
253,0.04754504
254,0.046621006
255,0.04559243
256,0.044587024
257,0.04358692
258,0.04258641
259,0.041702285
260,0.040774006
261,0.039737035
262,0.038653925
263,0.037616447
264,0.036586404
265,0.03558461
266,0.034599572
267,0.033510834
268,0.03251925
269,0.03155151
270,0.03046562
271,0.029420279
272,0.028351411
273,0.027467573
274,0.02669032
275,0.026163911
276,0.02567531
277,0.025599882
278,0.026116678
279,0.028485628
280,0.031746905
281,0.033205632
282,0.03431279
283,0.035266552
284,0.03619206
285,0.037007477
286,0.03789404
287,0.03868542
288,0.039533652
289,0.04024808
290,0.04100191
291,0.041690182
292,0.04225537
293,0.042750522
294,0.04335279
295,0.04386308
296,0.04418842
297,0.04427842
298,0.04430636
299,0.044386566
300,0.04449867
301,0.0444067
302,0.044450354
303,0.044717334
304,0.04491582
305,0.045034803
306,0.0451925
307,0.04533915
308,0.045495894
309,0.04576613
310,0.04599115
311,0.04638357
312,0.046670884
313,0.04709503
314,0.04742149
315,0.047858126
316,0.048217274
317,0.04859456
318,0.04889076
319,0.04915406
320,0.049359895
321,0.049495723
322,0.049575757
323,0.04963682
324,0.049813993
325,0.049976338
326,0.050050296
327,0.05014164
328,0.05026831
329,0.05045652
330,0.050633878
331,0.050877642
332,0.051166277
333,0.051395427
334,0.051598866
335,0.051709317
336,0.05176656
337,0.05181353
338,0.051755354
339,0.051583897
340,0.05155242
341,0.051568303
342,0.051736888
343,0.05180063
344,0.051760983
345,0.051504347
346,0.05133715
347,0.051160906
348,0.05098966
349,0.050838437
350,0.05069647
351,0.050558805
352,0.05030132
353,0.05007144
354,0.049893208
355,0.049801413
356,0.049706917
357,0.049682003
358,0.049424313
359,0.049360827
360,0.049202815
361,0.049135055
362,0.049105704
363,0.0489037
364,0.048672896
365,0.04870335
366,0.04891266
367,0.049216237
368,0.04945248
369,0.04965258
370,0.049757
371,0.049967825
372,0.049842015
373,0.050019894
374,0.04990097
375,0.049670123
376,0.049073696
377,0.048392754
378,0.047891714
379,0.047443006
380,0.047211718
381,0.047061734
382,0.046838358
383,0.046637844
384,0.046427056
385,0.046275567
386,0.046216823
387,0.046073325
388,0.045953464
389,0.04585144
390,0.045681834
391,0.04549886
392,0.04518373
393,0.044840906
394,0.044625897
395,0.044549763
396,0.04452986
397,0.044568133
398,0.044590294
399,0.044171236
400,0.043632537
401,0.042969353
402,0.04224982
403,0.041722655
404,0.0417464
405,0.04174127
406,0.04189737
407,0.04189817
408,0.042135525
409,0.04224302
410,0.042329986
411,0.04194445
412,0.042494413
413,0.04310815
414,0.043819837
415,0.04463164
416,0.045805275
417,0.047103915
418,0.048341963
419,0.04955262
420,0.050721023
421,0.051808782
422,0.053107545
423,0.054170765
424,0.055327035
425,0.056253564
426,0.057198074
427,0.05830968
428,0.059324834
429,0.06013172
430,0.060949396
431,0.062126484
432,0.06332691
433,0.06451784
434,0.06570549
435,0.06699304
436,0.068132125
437,0.06914683
438,0.07012644
439,0.07110384
440,0.07197768
441,0.07283469
442,0.073642075
443,0.07445537
444,0.0751774
445,0.076195344
446,0.0769164
447,0.0774665
448,0.07787147
449,0.07876216
450,0.080135785
451,0.08152192
452,0.08280544
453,0.08412019
454,0.08527982
455,0.08653674
456,0.087963805
457,0.08938715
458,0.09087383
459,0.092415005
460,0.093972236
461,0.09551823
462,0.097013794
463,0.09865325
464,0.10020516
465,0.10187698
466,0.10357423
467,0.10543332
468,0.10729599
469,0.10922179
470,0.10995098
471,0.11177063
472,0.11281799
473,0.1136617
474,0.11442989
475,0.11486471
476,0.11518004
477,0.1155615
478,0.11594393
479,0.11770953
480,0.119861
481,0.121070854
482,0.123089634
483,0.12409101
484,0.12595284
485,0.1269019
486,0.12878959
487,0.12944686
488,0.12982917
489,0.1315844
490,0.13238071
491,0.13418241
492,0.13486646
493,0.13646662
494,0.13703361
495,0.13732013
496,0.13874905
497,0.14057249
498,0.14120422
499,0.14257276
500,0.14320222
501,0.143493
502,0.14364369
503,0.14491999
504,0.14535306
505,0.1454558
506,0.14556278
507,0.14577106
508,0.1461901
509,0.14756583
510,0.149479
511,0.15070827
512,0.15163356
513,0.15245226
514,0.15323654
515,0.15398802
516,0.15470888
517,0.1554231
518,0.15641604
519,0.1573787
520,0.15829325
521,0.15910083
522,0.15987955
523,0.16062555
524,0.1613698
525,0.16208671
526,0.16274142
527,0.16316195
528,0.16372603
529,0.1641461
530,0.16462223
531,0.16511425
532,0.16554742
533,0.16595277
534,0.16627546
535,0.16657211
536,0.16684204
537,0.16712908
538,0.16778289
539,0.16848665
540,0.16908301
541,0.16955477
542,0.1699435
543,0.17035636
544,0.17068373
545,0.17104167
546,0.1713563
547,0.17163506
548,0.17187908
549,0.17210533
550,0.17228808
551,0.17247407
552,0.17260621
553,0.17275351
554,0.17316242
555,0.17361213
556,0.1740687
557,0.17448957
558,0.17491628
559,0.17536448
560,0.17585725
561,0.17629427
562,0.17678955
563,0.17729425
564,0.17783354
565,0.17835896
566,0.17891338
567,0.17944302
568,0.17997591
569,0.18055634
570,0.18094577
571,0.1814197
572,0.18183321
573,0.18228085
574,0.18273146
575,0.18308541
576,0.18328477
577,0.1835394
578,0.18386619
579,0.18418069
580,0.18447694
581,0.18475969
582,0.1850275
583,0.18528311
584,0.18551783
585,0.18566476
586,0.18578547
587,0.18589012
588,0.18597767
589,0.18605238
590,0.18611217
591,0.1861684
592,0.18620715
593,0.18625244
594,0.18628502
595,0.1863216
596,0.18635532
597,0.18640031
598,0.18645407
599,0.1865084
600,0.18658048
601,0.18664068
602,0.18670753
603,0.18677542
604,0.18685304
605,0.18693228
606,0.18701532
607,0.18710007
608,0.18718754
609,0.18729062
610,0.18739524
611,0.18745619
612,0.18750428
613,0.18754381
614,0.18756677
615,0.1875947
616,0.18762209
617,0.1877388
618,0.18785866
619,0.18796432
620,0.18807311
621,0.18816929
622,0.1879023
623,0.18738012
624,0.18667392
625,0.18574916
626,0.18473855
627,0.18337658
628,0.18179049
629,0.17997539
630,0.17785257
631,0.17549612
632,0.172884
633,0.17051196
634,0.16877823
635,0.1675915
636,0.1670663
637,0.16674344
638,0.1666182
639,0.16673379
640,0.16691211
641,0.16707197
642,0.16718544
643,0.16716129
644,0.16711845
645,0.16702849
646,0.16723464
647,0.16755015
648,0.16787545
649,0.1683795
650,0.16890326
651,0.1692969
652,0.1697303
653,0.1701947
654,0.17053068
655,0.17093733
656,0.1713556
657,0.17174546
658,0.17202544
659,0.17232008
660,0.17257896
661,0.17275418
662,0.1729277
663,0.17302123
664,0.17323679
665,0.17332529
666,0.17347129
667,0.17351879
668,0.17353557
669,0.17362934
670,0.17382798
671,0.17394453
672,0.17406702
673,0.17416309
674,0.17434593
675,0.17433247
676,0.1745102
677,0.17456722
678,0.17456053
679,0.174682
680,0.17476887
