joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,joint_8,joint_9,joint_10,joint_11
1.5648,8.3473,-38.0078,9.237,-21.0291,32.5041,4.2273,-6.7698,18.5064,4.9887,-16.1598,41.0035
0.3509,0.0403,1.5788,-9.4816,19.1246,-49.2345,-8.5417,40.2982,-53.798,-7.7746,12.6717,-46.1409
2.1632,-3.4266,0.3602,-1.798,-3.6921,2.2605,30.6685,-34.5749,68.3365,-2.3493,-6.51,8.2136
-10.2475,3.0974,20.8772,3.5591,-1.5081,2.8887,-14.8051,2.1479,-35.0733,-4.7779,0.0339,-18.944
-2.2591,-10.335,36.4901,8.2223,-2.0566,28.4617,-7.9473,2.3995,24.4206,3.1553,-5.8433,40.3508
6.579,-9.2486,19.4519,-4.2521,-10.8629,27.7283,2.5605,1.55,-0.1269,-7.8507,29.999,-53.2538
-6.6717,-1.2649,-47.2152,-8.8351,2.7775,-33.2467,3.7098,-2.0893,4.2354,2.6345,1.2835,47.8943
-10.1417,-7.1907,58.9245,3.9415,-39.6869,88.1545,-10.2741,29.3999,-79.2763,-0.4592,-1.4088,2.0481
10.6041,25.3536,-50.7728,-6.7002,2.5228,-0.5284,26.0155,-31.8262,71.1656,-9.3236,-20.9076,27.7765
-11.2334,-12.7405,60.5658,2.2418,-29.8375,47.247,-9.4151,-25.8159,52.907,10.832,-14.4698,32.2195
4.1289,11.1089,-24.1647,-12.853,-1.7608,-94.5,-3.3462,-12.2332,11.5358,44.7261,-10.8895,10.2113
28.5764,52.7833,-51.8178,37.7007,-8.7273,21.11,-4.6606,-29.6278,46.9044,-2.4929,-36.4845,-24.6503
-23.3175,-62.4857,49.7385,-38.9699,12.8063,-8.7473,-5.717,29.3695,-37.408,-34.7636,-82.8044,82.196
-14.3674,23.5654,-56.8952,-22.893,69.6062,0.1594,19.5413,40.6724,-26.1743,15.3244,6.3017,-100.0
-5.9135,-45.5431,85.3653,56.7265,15.1712,8.458,-21.9542,35.3153,9.3572,18.6539,32.9941,-6.0128
-7.2691,-2.6293,-2.5555,56.7884,-39.847,37.2644,-4.0632,17.6579,-3.7321,-39.0235,92.4423,1.2353
-18.9369,-53.9707,20.4656,0.9141,24.7875,15.0393,-8.3184,-5.4222,5.7186,21.5136,-54.8625,20.4272
33.833,5.3485,-66.2688,-12.6124,-6.9106,-7.9502,1.9894,-0.8712,-0.209,-20.2735,3.2649,-65.952
-37.1001,35.1334,40.4974,38.6688,-7.4693,1.6306,-5.5203,-3.3936,4.2274,4.0871,43.7175,36.4114
11.4493,15.3798,-64.436,-57.9013,-6.4326,35.6759,62.8592,-31.565,-47.2101,-62.4281,-16.261,-7.3527
27.2573,1.4762,10.9103,27.2991,-41.2162,-6.9942,-16.6439,-14.6281,13.825,27.0805,16.5799,-4.5232
6.0026,-5.9896,37.6081,5.405,-0.2524,1.1812,-18.8732,34.1385,-2.8475,5.5779,-0.1577,1.203
3.754,-19.1321,-41.6299,1.8953,0.0914,1.7556,14.4497,-16.8636,69.3669,-4.1564,8.7839,-7.1691
-12.9501,-0.9867,32.7434,-11.0399,0.5581,10.9556,30.8682,10.1967,-76.1202,-0.8086,2.8971,0.2599
11.9439,10.4817,34.3007,-3.5934,22.4934,-45.5749,-46.3245,-26.6058,48.617,-1.8334,11.4172,-1.4462
11.0969,4.1796,-67.3465,60.9092,27.3917,-15.7046,4.2152,37.4432,-73.7314,0.2469,34.3636,1.6613
9.5366,-0.5681,-2.6371,-7.5938,17.9896,-11.9242,18.5144,19.0391,47.2162,1.9612,30.3297,-1.5594
8.4322,33.8732,-26.891,-28.7969,8.2132,-6.5174,-24.8799,-5.843,-13.4685,1.6566,5.3905,1.4696
6.5534,10.1684,-32.8893,-12.7735,-0.9132,-11.8813,-12.0626,-59.5354,15.5649,0.5373,-0.3498,2.2119
5.4455,-16.8227,18.8527,31.573,-20.6534,-21.347,52.1092,-6.9021,-4.5891,-0.5039,-0.7032,2.6602
-0.5497,8.5,0.1146,-10.7932,-43.0885,21.5141,-7.0213,19.7568,0.8999,-0.6697,2.6173,0.1397
-9.1939,-7.1237,-23.0281,-41.2809,-14.9838,-11.1661,-23.0014,34.1493,30.9297,-1.2563,-0.6437,2.9174
-3.8604,10.8149,-10.8604,-4.6131,13.0389,7.0492,29.105,11.2238,-43.2401,1.0954,-13.3258,16.4367
1.2674,-8.6735,10.7585,10.7794,21.9325,-4.3151,-12.9663,-33.9854,3.2726,-0.3944,-28.5862,-5.6621
2.1073,27.5641,24.2236,77.947,25.8904,2.6075,-8.6387,-5.425,11.5714,2.7708,-24.6949,-18.1377
0.2589,33.1117,42.8936,5.5556,14.4038,-2.0401,42.0555,43.4681,-13.2458,-0.6515,-13.7783,11.4549
0.294,7.8559,-17.7241,-30.4843,0.4593,1.1127,-28.2442,7.7327,-38.0101,0.4959,7.3063,15.8387
0.9184,-43.9112,40.8697,-47.9631,25.4393,-1.3407,-23.8939,-13.7765,6.2251,-0.6213,40.3444,-7.7401
-22.4791,24.9137,3.9157,-10.5983,-2.166,8.873,27.4532,-50.386,13.8656,-10.6139,2.5459,0.2088
28.6215,-8.3274,11.7545,-4.9022,-2.5264,13.9446,-29.0534,12.7932,-75.4121,-4.9054,7.4334,-3.4544
-12.1403,-4.8381,-34.9991,10.6482,36.6889,-71.5352,8.9547,36.8606,-23.9975,2.5426,13.2453,-7.9598
-2.3988,4.0442,42.9193,40.4203,21.1204,-16.9746,17.615,-29.712,92.3797,0.5762,-17.9293,38.4644
33.2033,-7.3316,16.1529,-33.8403,23.1536,-13.5746,-0.381,31.0447,-97.0376,-10.8253,-4.7605,20.4943
-41.3082,14.7456,-43.6724,-20.53,8.9123,9.3969,-18.2001,-22.473,7.872,-0.1439,2.8916,-3.7659
-5.453,11.8906,-25.8411,8.4513,-16.2312,8.5345,-0.5904,-36.7944,100.0,1.4452,-9.0758,2.8138
29.9063,-21.7616,63.7322,44.5536,-20.3272,-6.7218,10.9783,-27.2255,28.1602,2.8904,-3.8313,1.3956
-3.682,4.2485,21.7617,-39.6541,-3.2689,-2.5885,8.7809,-11.3541,38.0069,2.9928,2.4628,-2.1069
-16.1916,11.372,-21.5395,21.3805,10.2853,-3.6706,-19.8126,1.2131,53.4774,10.202,10.9074,-7.1315
13.2667,0.1592,-1.571,-16.1614,19.8101,2.2174,-10.0351,20.109,-53.3035,7.4942,2.897,-2.763
1.2622,8.6279,4.9896,-23.1152,14.5648,-0.9864,-1.2564,-2.9998,3.1668,1.867,-4.5868,2.0566
-34.7411,-3.2402,0.8,13.587,-4.2148,-0.015,14.6533,7.638,9.3984,4.5035,-6.1783,2.4176
33.0915,-8.0282,2.2207,38.7303,-16.8632,-0.3336,0.0233,1.9694,-1.5612,-2.8759,0.3167,0.7085
16.3854,7.5111,1.1445,-22.9657,-11.851,0.4209,-4.8387,-0.7376,7.333,2.7438,0.0026,1.9108
-47.3754,-4.051,-0.7568,-31.7592,9.5274,-1.7974,1.8361,-5.5292,26.7012,-3.4702,2.231,4.8125
1.407,1.5439,-2.1028,10.1392,4.7588,2.2713,3.2365,13.7893,24.1272,-1.4576,-0.1236,0.1668
1.9831,4.5191,-5.6312,29.8588,-4.3354,-0.0248,-0.7428,45.497,-12.3808,-3.7791,-0.0997,0.1851
45.9707,5.1744,-0.6916,-75.9695,5.0431,0.6068,-2.1178,18.6956,5.7921,13.9112,-0.7064,2.4753
-15.3513,12.2226,1.3517,46.9143,-14.441,-0.7565,-0.6345,-1.0427,-2.976,-2.4933,-0.328,-0.1804
26.4603,25.5227,30.9269,-1.4119,0.6933,4.6621,1.4363,4.3405,-1.7282,24.513,28.039,28.7449
-43.1222,-0.6122,-30.5099,-2.1033,-2.3476,8.4258,2.2044,2.323,0.6482,-39.8494,-2.6202,-28.1135
16.4039,-23.9764,37.3114,-1.342,-15.5899,64.4784,6.5852,14.1609,-8.2198,16.4083,-16.3196,16.5936
-8.2181,27.1017,-3.5965,49.7006,12.4164,3.9381,-4.7126,10.7986,-1.242,2.4738,22.1518,31.7526
-27.9263,-5.3615,8.0279,-12.1212,14.2916,23.2126,2.3648,-2.9909,0.8572,-13.7139,-8.2999,3.9952
41.3173,-32.3655,-3.5029,-30.3057,16.8486,4.1961,2.3566,-3.1336,0.6283,24.1708,-19.0521,11.4156
0.5458,18.7032,-49.3381,11.3105,-3.2618,-5.3921,-5.1584,-16.3615,9.4732,-32.3947,26.2536,1.9735
4.3107,9.4945,70.8543,22.2367,-16.3656,4.2634,1.6248,-34.6951,89.0521,35.5224,-11.7813,-5.4112
0.0653,4.123,-63.9281,-41.8618,-18.8264,-2.42,3.5329,-1.0281,38.2042,-13.5147,-1.4272,1.0178
-46.4987,2.7332,10.3993,14.3812,-10.9585,1.3442,6.499,-13.5425,94.533,-4.706,13.8289,-0.68
23.8912,10.7091,4.9091,4.2336,12.2318,-3.0998,4.3456,-15.4374,64.1708,21.714,-27.4296,0.1543
38.4353,-33.4558,31.5855,19.0969,25.2998,0.6385,-19.5532,-2.6574,-19.9861,-15.4021,19.7387,1.2077
24.5941,23.2795,32.1975,2.7111,2.3575,2.4267,-2.6414,4.3208,-1.1244,25.3771,32.6403,24.7336
-42.1604,-0.2374,-31.2581,3.4806,0.2021,4.4433,-3.166,1.3495,2.2847,-60.309,1.954,-17.5194
17.8536,-22.0249,42.8398,3.3793,1.0004,8.0276,-3.0999,8.165,-3.7157,37.6792,-53.6194,39.9014
2.5232,32.2927,-6.4007,4.9389,-21.159,96.4276,1.1808,21.7053,-6.8551,-23.5424,30.3311,-83.3557
2.2449,-3.269,4.2033,3.0976,-33.531,100.0,-1.5568,7.0208,0.1577,7.2499,28.5818,46.298
-3.1726,-32.4463,-7.9393,-0.6445,19.963,-66.1928,-1.7109,-6.4278,3.6792,1.1469,-4.5222,2.3547
0.0882,13.2723,-25.4573,-2.8204,-21.4712,65.6404,4.9736,-17.2365,9.9078,-27.5247,-26.3282,-1.4106
-17.5067,10.7415,47.7285,-2.3742,-11.1087,30.3538,1.6948,-16.1495,11.7218,16.1397,-6.1484,3.3808
