#{"t_start": 1746485341.7237988, "env_id": "None"}
r,l,t
-3659.604007,1590,15.694685
7.77065,1,15.886744
6.476615,1,16.052779
-1198.042615,392,18.286403
-2764.511068,1289,46.781379
6.756785,1,46.974259
-688.684662,376,49.68866
-307.039546,154,50.789774
-3292.526133,1181,76.760003
-892.364973,453,79.770163
-350.765828,151,80.859099
-842.932528,300,82.744834
-912.721793,315,101.878098
-990.752759,470,104.839225
-1425.302001,786,110.069872
-1215.475143,734,130.96017
-1143.302517,710,136.045529
-1911.06019,671,139.705985
8.736609,1,139.908925
-6949.477289,1727,167.184037
-26.611314,39,167.615893
-968.854981,347,169.72558
-2865.568913,1486,195.10861
-545.904552,844,199.821334
-485.715701,298,201.534479
-1226.350179,653,222.070083
-848.835107,871,227.990268
-2236.300792,1150,252.912692
-257.249597,202,254.12742
-1800.919461,1858,282.295946
8.153851,1,282.493657
-278.356275,399,284.750439
8.223552,1,284.951256
-90.70212,1256,311.705528
-399.150582,252,313.30863
-1041.51557,1110,320.273069
-160.257524,322,322.578794
-1200.278141,1705,351.741681
7.774403,1,351.943153
8.954137,1,352.13028
-75.203229,137,353.09106
-707.289343,441,372.997082
-95.699362,241,374.544268
-171.444008,337,377.146435
-493.961434,666,381.940131
-284.21683,863,405.872688
-2514.589533,1573,416.51614
-183.271105,829,440.770474
6.406809,1,440.969004
-121.708437,282,442.848924
-63.399284,326,445.63926
-18.47115,244,448.544306
-148.366113,212,450.855468
-472.92673,453,454.236814
-183.328722,475,475.139717
-26.56683,45,475.577471
-332.773269,508,480.001627
42.154894,194,481.861936
-744.922431,270,484.334867
7.927297,129,485.222886
-90.494083,246,487.302555
-730.379907,1101,512.513036
-27.621677,294,515.124799
-7.753999,180,516.925301
-994.486319,510,521.080909
-9.18325,89,521.723285
5.53399,1,521.911968
-136.736437,162,540.178313
-183.674057,430,543.703014
-298.94245,277,545.966419
-119.865525,219,547.727263
-23.557663,234,549.869347
-1105.274141,546,554.536136
-210.626711,331,573.845697
-34.176751,154,575.414086
-302.170851,732,582.200945
-728.373279,846,588.584647
-72.964816,461,610.922425
3.696744,1,611.119771
6.117843,1,611.294336
-597.298386,443,614.91638
-1458.890225,803,622.477876
-128.021075,200,623.99726
-170.224299,604,645.660748
-77.114957,214,647.314639
7.64157,1,647.546047
-330.432058,675,654.483472
7.70138,1,654.700522
33.74765,271,656.687691
1.732942,137,657.928717
16.700637,169,660.122535
42.442575,106,660.881446
-168.330943,175,662.373487
-83.788659,332,682.197942
2.219319,41,682.622056
7.008274,1,682.819638
-216.385125,238,684.964314
158.280957,346,688.005796
-560.490423,474,691.451518
8.832042,263,694.614532
6.911316,1,694.806818
-166.795211,236,697.713444
-84.849186,172,699.215741
-102.640638,247,717.993134
-107.457722,246,720.208957
-102.442605,398,723.284959
14.601577,364,726.662538
198.713625,391,729.563115
-599.048842,198,731.573818
-197.786594,549,753.629024
-71.880167,375,756.762758
7.559935,1,756.984778
-36.491811,198,759.041034
-656.298831,672,764.822747
-301.454925,153,766.211995
-150.283497,334,785.610917
-248.236014,438,789.242804
-286.685434,453,793.869777
190.30175,242,795.726791
-81.43267,119,796.792446
-102.152388,523,802.828827
48.826777,136,804.486356
35.009756,207,822.852006
-203.398315,633,828.154588
7.198277,1,828.363346
-1024.570742,630,833.412745
-748.362076,699,856.839752
37.645977,68,857.394751
-99.50011,172,858.502947
-18.605238,323,862.257699
9.096745,1,862.463723
-497.135095,288,864.236351
210.073767,548,868.578274
-36.852492,94,870.026114
-143.709604,377,872.460961
6.935589,1,872.659698
-26.524212,38,873.048243
-138.220979,323,893.485568
-63.081181,95,894.155386
113.753995,108,895.624918
-57.710717,129,896.593821
43.796277,428,900.515331
14.414994,213,901.765081
29.051322,423,905.790658
144.789488,293,908.503724
-14.434222,114,909.271288
-11.617246,377,930.584415
227.732696,556,934.867718
6.402631,1,935.062099
7.066838,1,935.242916
-309.559122,366,937.68662
7.345247,1,937.886336
320.969261,424,941.999747
-200.745524,195,943.716709
-3.999843,514,965.373676
-28.106157,200,967.349381
-2.040674,345,969.949748
-35.191087,180,972.138221
8.521166,1,972.340681
-128.600184,210,974.387403
-281.432044,237,976.691487
8.224004,1,976.898775
196.781175,280,978.428204
-806.643453,1491,1006.662746
8.336145,1,1006.863963
-28.436625,86,1007.53393
-1182.875127,330,1010.279478
-136.3141,491,1031.742318
-51.843767,128,1032.624147
6.429883,306,1034.728925
-429.19038,292,1037.493517
106.65476,592,1041.322222
-85.8704,1179,1067.287078
-356.67121,502,1070.669562
-148.163171,328,1073.948548
-149.352653,225,1075.862588
520.059185,429,1079.590277
45.230469,234,1099.017268
-436.342234,693,1105.804693
139.155698,271,1107.818188
-59.236044,473,1110.752444
-87.986008,469,1131.72509
32.275053,388,1134.148117
415.541092,703,1139.310567
-93.17576,153,1140.309694
6.272942,1,1140.510012
6.747328,1,1140.682922
317.8275,485,1144.206435
-242.464949,415,1163.011908
255.080833,229,1164.49904
-699.994491,1485,1175.469038
256.474336,492,1194.877127
-986.466951,1001,1201.496943
4.795492,1,1201.705717
-209.637827,750,1223.477714
652.976997,654,1228.720404
360.258639,364,1231.159591
-51.862197,340,1233.178469
9.154673,1,1233.374337
223.889195,816,1256.316568
222.498125,406,1259.685904
215.591383,433,1262.609421
131.375288,340,1264.568678
387.734897,524,1268.916872
-626.932924,457,1291.797356
145.038405,860,1296.862104
-32.28665,378,1299.865759
502.597672,621,1320.743491
284.303679,186,1322.247787
-183.041589,319,1325.146419
6.379606,1,1325.348258
5.510293,1,1325.551636
-68.259688,347,1328.316317
144.337025,353,1330.453388
