#{"t_start": 1746356643.177463, "env_id": "None"}
r,l,t
-5313.310754,1769,28.943356
-1959.108779,771,57.292575
-4550.284729,2012,109.05078
-6922.154229,2272,160.376157
-2055.952332,1076,177.680667
-1501.58615,449,202.034758
-5766.44712,2154,248.273142
-5376.394736,2047,295.705808
-1439.610978,476,306.663097
-2214.020129,946,319.352951
-1568.380253,665,349.741004
-357.604069,389,360.004232
-1218.312591,562,369.583569
-4298.023909,1497,407.911773
-153.300802,112,410.513343
-2318.751753,878,425.870493
-3517.757632,1793,468.92796
-734.892088,301,476.411542
-1254.957829,545,503.351681
-1659.506298,718,512.661916
-546.211378,370,518.953521
-229.280973,103,521.558061
-1097.131844,360,526.165728
-648.126306,397,552.432135
-1571.270916,789,563.778388
-1456.177988,545,573.730554
-2000.12203,1273,611.071529
-604.710857,322,615.524716
-1694.799172,878,626.247068
-1257.704111,729,657.144654
-1486.826823,835,668.855519
-536.414787,215,672.3879
-913.307283,477,700.531011
-1343.026734,738,713.14543
-2088.111918,1112,730.904591
-1143.695257,515,754.850747
-212.610211,112,760.963284
-1018.220161,576,770.979319
-895.743562,564,782.668527
-285.208733,158,787.258396
-1384.593539,765,819.993043
-2143.408546,1428,843.198485
-2917.713636,1340,881.757354
-895.516493,447,889.109905
-714.818386,352,897.341208
-1728.527083,760,932.311302
-3381.086188,1789,978.344409
-2133.159675,951,994.738792
-319.988781,213,1001.697256
-626.042091,313,1009.46392
-810.9574,394,1036.055995
-648.990046,286,1043.575051
-209.061463,118,1049.714012
-701.836859,248,1057.031502
-725.688761,336,1061.635493
-677.516932,323,1067.600527
-285.593204,104,1070.04709
-705.712701,327,1079.495222
-524.115476,199,1102.364223
-434.451913,258,1107.870819
-805.340388,371,1117.83014
-168.514496,96,1120.32673
-1176.723343,585,1132.086355
-1181.809834,550,1143.563159
-2817.781002,1208,1188.62902
-586.718552,496,1201.398258
-994.47185,423,1226.906191
-1909.430923,869,1243.800347
-739.069786,289,1251.070131
-416.252856,205,1256.030577
-1150.01165,528,1267.135111
-1508.982353,780,1300.37378
-2146.074693,1050,1324.133705
-1915.901342,639,1358.213314
-251.089676,184,1361.291321
-267.3073,275,1368.680074
-442.853904,212,1375.587779
-972.840103,598,1388.59555
-703.297708,304,1398.052078
-1093.999849,619,1425.23897
-767.555738,280,1432.393255
-605.583752,362,1443.761781
-1847.666604,778,1460.468509
-598.800487,313,1486.565174
-618.510932,237,1493.680537
-698.40185,337,1501.629184
-593.475053,342,1517.055022
-2232.671495,1301,1558.841982
-264.292752,146,1567.003364
-1005.045264,422,1575.537408
-112.825758,93,1578.030411
-1880.766589,803,1598.306832
-1033.830738,327,1621.621795
-1162.33184,483,1636.100542
-593.166367,354,1642.724161
-211.872106,145,1647.647356
-317.087316,205,1651.013219
-391.003978,272,1661.404946
-360.127527,240,1668.434015
-1556.538094,598,1706.201122
-652.828614,406,1716.327248
-220.396724,211,1723.256276
-1278.537189,647,1735.131776
